loss,iw,connectEnd,connectStart,responseStart,domInteractive,loadEventEnd,firstPaint,firstContentfulPaint,domInteractiveNorm,loadEventEndNorm,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domainLookupEnd,domainLookupStart,duration,fetchStart,loadEventStart,requestStart,responseEnd,secureConnectionStart,startTime,orbit,transport
1.0,"10,10,10,10",155.39999985694885,7.699999809265138,546.0,604.7999999523163,4961.199999809265,1625.1999998092651,1625.1999998092651,58.79999995231629,4415.199999809265,4961.199999809265,604.7999999523163,604.7999999523163,7.699999809265138,7.699999809265138,4961.199999809265,0.5999999046325684,4961.199999809265,155.59999990463257,547.6999998092651,0.0,0.0,leo,tcp
1.0,"10,10,10,10",158.39999985694885,8.099999904632567,319.0,663.0,6233.099999904633,1764.7999999523165,1764.7999999523165,344.0,5914.099999904633,6233.099999904633,663.0999999046327,663.0,8.099999904632567,8.099999904632567,6233.099999904633,0.5999999046325684,6233.099999904633,158.59999990463257,649.2000000476837,0.0,0.0,leo,tcp
1.0,"10,10,10,10",136.60000014305115,7.300000190734862,277.0,420.4000000953674,5884.0,1216.3000001907346,1216.3000001907346,143.40000009536735,5607.0,5884.0,420.5,420.5,7.300000190734862,7.300000190734862,5884.0,0.2000000476837158,5884.0,136.70000004768372,417.2000000476837,0.0,0.0,leo,tcp
1.0,"10,10,10,10",152.90000009536743,7.299999952316284,282.29999995231634,3495.2999999523163,10802.099999904633,4712.5,4712.5,3213.0,10519.799999952316,10802.099999904633,3495.2999999523163,3495.2999999523163,7.299999952316284,7.299999952316284,10802.099999904633,0.7999999523162842,10802.099999904633,153.0,3488.5,0.0,0.0,leo,tcp
1.0,"10,10,10,10",142.09999990463257,6.0,291.59999990463257,436.19999980926514,3291.7999999523163,1114.0999999046326,1114.0999999046326,144.59999990463257,3000.200000047684,3291.7999999523163,436.2999999523163,436.2999999523163,6.0,6.0,3291.7999999523163,0.0999999046325683,3291.7999999523163,142.1999998092651,432.59999990463257,0.0,0.0,leo,tcp
1.0,"10,10,10,10",147.5,6.599999904632568,276.89999985694885,411.0,4239.799999952316,1342.6999998092654,1342.6999998092654,134.10000014305115,3962.900000095368,4239.799999952316,411.09999990463257,411.09999990463257,6.599999904632568,6.599999904632568,4239.799999952316,0.1999998092651367,4239.799999952316,147.6999998092651,407.89999985694885,0.0,0.0,leo,tcp
1.0,"10,10,10,10",149.6999998092651,8.599999904632567,279.1999998092652,413.09999990463257,4347.5,1283.2999999523165,1283.2999999523165,133.90000009536735,4068.300000190735,4347.5,413.09999990463257,413.09999990463257,8.599999904632567,8.599999904632567,4347.5,0.5,4347.5,149.89999985694885,409.89999985694885,0.0,0.0,leo,tcp
1.0,"10,10,10,10",160.70000004768372,7.0,311.29999995231634,786.7999999523163,4012.200000047684,1522.2000000476835,1522.2000000476835,475.5,3700.900000095368,4012.200000047684,786.9000000953674,786.9000000953674,7.0,7.0,4012.200000047684,0.4000000953674317,4012.200000047684,160.79999995231628,783.0999999046326,0.0,0.0,leo,tcp
1.0,"10,10,10,10",149.0,7.799999952316284,309.70000004768366,490.7999999523163,4160.200000047684,1146.5999999046326,1146.5999999046326,181.09999990463265,3850.5,4160.200000047684,490.9000000953674,490.9000000953674,7.799999952316284,7.799999952316284,4160.200000047684,0.2999999523162842,4160.200000047684,149.20000004768372,489.7999999523163,0.0,0.0,leo,tcp
1.0,"10,10,10,10",154.40000009536743,7.400000095367432,303.90000009536743,439.2999999523163,3694.799999952316,1716.9000000953674,1716.9000000953674,135.39999985694885,3390.899999856949,3694.799999952316,439.2999999523163,439.2999999523163,7.400000095367432,7.400000095367432,3694.799999952316,0.2999999523162842,3694.799999952316,154.59999990463257,435.9000000953674,0.0,0.0,leo,tcp
1.0,"10,10,10,10",169.0,7.700000047683716,318.6000001430512,452.80000019073486,6700.900000095367,1157.0,1157.0,134.20000004768366,6382.299999952316,6700.900000095367,452.80000019073486,452.80000019073486,7.700000047683716,7.700000047683716,6700.900000095367,0.2000000476837158,6700.900000095367,169.10000014305115,449.6000001430512,0.0,0.0,leo,tcp
1.0,"10,10,10,10",150.5,7.299999952316284,289.79999995231634,434.0,4602.799999952316,1905.0,1905.0,144.20000004768366,4313.0,4602.700000047684,434.1000001430512,434.0,7.299999952316284,7.299999952316284,4602.799999952316,0.5,4602.799999952316,150.60000014305115,430.7999999523163,0.0,0.0,leo,tcp
1.0,"10,10,10,10",158.89999985694885,8.299999952316284,319.5,500.7999999523163,5814.799999952315,1387.8999998569489,1387.8999998569489,181.29999995231628,5495.299999952315,5814.799999952315,500.7999999523163,500.7999999523163,8.299999952316284,8.299999952316284,5814.799999952315,0.6999998092651367,5814.799999952315,159.0,499.89999985694885,0.0,0.0,leo,tcp
1.0,"10,10,10,10",161.0,6.5,312.79999995231634,446.2999999523163,3734.099999904633,1189.5,1189.5,133.49999999999994,3421.2999999523167,3734.099999904633,446.39999985694885,446.39999985694885,6.5,6.3999998569488525,3734.099999904633,0.2999999523162842,3734.099999904633,161.09999990463257,442.89999985694885,0.0,0.0,leo,tcp
1.0,"10,10,10,10",142.40000009536743,6.4000000953674325,1965.400000095368,2118.9000000953674,5946.10000014305,3025.9000000953674,3025.9000000953674,153.5,3980.700000047683,5946.10000014305,2118.9000000953674,2118.9000000953674,6.4000000953674325,6.4000000953674325,5946.10000014305,0.4000000953674317,5946.10000014305,142.60000014305115,2115.600000143051,0.0,0.0,leo,tcp
