second,quic,tcp,orbit,pep,iw,loss
0.1,319.0471749307205,,leo,1,"10,100,100,10",10^0
0.2,679.7960567466275,365.2471648708721,leo,1,"10,100,100,10",10^0
0.3,1143.677439064098,726.2379899505404,leo,1,"10,100,100,10",10^0
0.4,1750.7010400633114,1087.37918326934,leo,1,"10,100,100,10",10^0
0.5000000000000001,2323.0400970413157,1542.931036865423,leo,1,"10,100,100,10",10^0
0.6000000000000001,2730.8269597846656,1898.6708347500864,leo,1,"10,100,100,10",10^0
0.7000000000000001,3181.1358700062865,2100.6290099130983,leo,1,"10,100,100,10",10^0
0.8,3668.8044022952704,2350.707058853485,leo,1,"10,100,100,10",10^0
0.9,4264.425539755228,2598.528983734354,leo,1,"10,100,100,10",10^0
1.0,5008.194673407612,2871.890341693268,leo,1,"10,100,100,10",10^0
1.1,5567.667586250037,3273.882839790383,leo,1,"10,100,100,10",10^0
1.2,6330.806320955504,3652.315181160923,leo,1,"10,100,100,10",10^0
1.3,6891.106939581257,4023.2721976766725,leo,1,"10,100,100,10",10^0
1.4,7537.6405932480675,4359.395460496277,leo,1,"10,100,100,10",10^0
1.5,8182.546390054696,4655.667835997254,leo,1,"10,100,100,10",10^0
1.6,8870.093555638054,4928.450021443595,leo,1,"10,100,100,10",10^0
1.7,9447.623746252744,5143.861187836813,leo,1,"10,100,100,10",10^0
1.8,10014.723693191283,5360.573798999493,leo,1,"10,100,100,10",10^0
1.9,10576.837532918182,5654.440464399692,leo,1,"10,100,100,10",10^0
2.0,11129.453788810835,5828.742467833883,leo,1,"10,100,100,10",10^0
2.1,11533.579104165256,6181.827641444712,leo,1,"10,100,100,10",10^0
2.2,11939.299492887201,6378.954901742218,leo,1,"10,100,100,10",10^0
2.3000000000000003,12282.302239217035,6576.945714572293,leo,1,"10,100,100,10",10^0
2.4,12612.693519847579,6762.4828240169545,leo,1,"10,100,100,10",10^0
2.5,12916.450051738948,6884.23416065262,leo,1,"10,100,100,10",10^0
2.6,13174.377664362493,7054.501986021055,leo,1,"10,100,100,10",10^0
2.7,13408.825705646146,7188.142990176136,leo,1,"10,100,100,10",10^0
2.8000000000000003,13610.693427708627,7331.403645592592,leo,1,"10,100,100,10",10^0
2.9,13805.527920866698,7437.744403518419,leo,1,"10,100,100,10",10^0
3.0,13992.782732748727,7562.1904631517245,leo,1,"10,100,100,10",10^0
3.1,14181.352881616735,7653.6855401200355,leo,1,"10,100,100,10",10^0
3.2,14336.261816328188,7758.049896831996,leo,1,"10,100,100,10",10^0
3.3000000000000003,14465.30804908783,7890.85072332192,leo,1,"10,100,100,10",10^0
3.4,14596.38935151412,7993.518775986894,leo,1,"10,100,100,10",10^0
3.5,14715.478986354552,8123.194715880797,leo,1,"10,100,100,10",10^0
3.6,14833.905875267843,8206.487176725446,leo,1,"10,100,100,10",10^0
3.7,14928.511526375645,8285.253122428727,leo,1,"10,100,100,10",10^0
3.8,15049.484164074676,8352.849130432456,leo,1,"10,100,100,10",10^0
3.9,15134.852106853732,8453.542562648814,leo,1,"10,100,100,10",10^0
4.000000000000001,15217.823937770776,8543.062027593845,leo,1,"10,100,100,10",10^0
4.1000000000000005,15295.700237089133,8618.291690864313,leo,1,"10,100,100,10",10^0
4.2,15358.998681566676,8700.878725389477,leo,1,"10,100,100,10",10^0
4.300000000000001,15414.926863399654,8764.9401287221,leo,1,"10,100,100,10",10^0
4.4,15486.098867866895,8850.563200574088,leo,1,"10,100,100,10",10^0
4.500000000000001,15540.055490944642,8911.271144898217,leo,1,"10,100,100,10",10^0
4.6000000000000005,15583.561988014053,8984.83777060141,leo,1,"10,100,100,10",10^0
4.700000000000001,15616.90573845111,9040.258777595438,leo,1,"10,100,100,10",10^0
4.800000000000001,15652.40890292118,9112.967306998396,leo,1,"10,100,100,10",10^0
4.9,15686.616004309324,9169.960921678552,leo,1,"10,100,100,10",10^0
