second,quic,tcp,orbit,pep,iw,loss
23.0,1384.7902379012064,784.9538061898596,geo,1,"10,100,100,10",10^-01
24.0,1446.0126898787455,775.3369211325187,geo,1,"10,100,100,10",10^-01
25.0,1285.8878091173408,743.4378000543677,geo,1,"10,100,100,10",10^-01
26.0,1212.7962627084125,716.3652334907504,geo,1,"10,100,100,10",10^-01
27.0,1156.0132927513084,702.8519069367333,geo,1,"10,100,100,10",10^-01
28.0,1108.2901785194074,684.541434192942,geo,1,"10,100,100,10",10^-01
29.0,1086.5749317320922,706.3658007919457,geo,1,"10,100,100,10",10^-01
30.0,1061.7181306123025,697.4565921749424,geo,1,"10,100,100,10",10^-01
1.0,390.7269322937575,486.397417051034,geo,0,"10,10,10,10",10^0
2.0,844.9258331584039,481.7174649722798,geo,0,"10,10,10,10",10^0
3.0,558.2801618418438,576.5132614471869,geo,0,"10,10,10,10",10^0
4.0,809.1546061303685,793.1950043108237,geo,0,"10,10,10,10",10^0
5.0,439.120353295581,546.8179665990993,geo,0,"10,10,10,10",10^0
6.0,455.409258377316,354.6405933079626,geo,0,"10,10,10,10",10^0
7.0,419.8699188725787,319.0115529752446,geo,0,"10,10,10,10",10^0
8.0,217.58451658189514,223.10082553164267,geo,0,"10,10,10,10",10^0
9.0,335.35712620024805,247.9160500176185,geo,0,"10,10,10,10",10^0
10.0,266.9913046251149,177.0532384640823,geo,0,"10,10,10,10",10^0
11.0,194.178408917436,171.22079413426954,geo,0,"10,10,10,10",10^0
12.0,247.00843364046017,170.87937735668993,geo,0,"10,10,10,10",10^0
13.0,214.08799752109454,135.44484655632004,geo,0,"10,10,10,10",10^0
14.0,172.36713081631126,150.30742212385871,geo,0,"10,10,10,10",10^0
15.0,209.62652117690027,129.62112491343123,geo,0,"10,10,10,10",10^0
16.0,186.088231415425,138.53864903639914,geo,0,"10,10,10,10",10^0
17.0,202.5797739615518,138.78720310313662,geo,0,"10,10,10,10",10^0
18.0,206.46626427989827,115.02273150591579,geo,0,"10,10,10,10",10^0
19.0,161.79628576882354,122.83902343766914,geo,0,"10,10,10,10",10^0
20.0,180.96075003020042,123.42253283552276,geo,0,"10,10,10,10",10^0
21.0,195.90832898899777,127.85613673919137,geo,0,"10,10,10,10",10^0
22.0,162.87682081984195,126.89209858241513,geo,0,"10,10,10,10",10^0
23.0,181.33305492350328,122.34643183450113,geo,0,"10,10,10,10",10^0
24.0,182.31186809885497,125.0585216369354,geo,0,"10,10,10,10",10^0
25.0,158.12665849170853,132.7237693833598,geo,0,"10,10,10,10",10^0
26.0,186.64539104519727,126.35376145766156,geo,0,"10,10,10,10",10^0
27.0,167.45752772366637,118.38400142365586,geo,0,"10,10,10,10",10^0
28.0,163.8435497054173,125.68385584673256,geo,0,"10,10,10,10",10^0
29.0,183.0570637245634,130.3184627749517,geo,0,"10,10,10,10",10^0
30.0,167.62615330550233,129.2833514155665,geo,0,"10,10,10,10",10^0
1.0,6324.387638302901,3809.8235658819854,leo,0,"10,10,10,10",10^-01
2.0,12002.284274474741,6682.592617765361,leo,0,"10,10,10,10",10^-01
3.0,10861.778242881055,9673.102938283766,leo,0,"10,10,10,10",10^-01
4.0,9497.347622224832,10060.856125985403,leo,0,"10,10,10,10",10^-01
5.0,7911.96621243074,8114.546642830151,leo,0,"10,10,10,10",10^-01
6.0,6804.08684038355,5701.819861714995,leo,0,"10,10,10,10",10^-01
7.0,5899.5306338993305,4579.987997428245,leo,0,"10,10,10,10",10^-01
8.0,5295.218947482842,3910.6039680578015,leo,0,"10,10,10,10",10^-01
9.0,4850.497882191464,3250.0072126002033,leo,0,"10,10,10,10",10^-01
10.0,4532.056861587872,2975.7546158888845,leo,0,"10,10,10,10",10^-01
11.0,4139.172581992286,2689.0817925432452,leo,0,"10,10,10,10",10^-01
12.0,3766.0584340415694,2680.1451671624022,leo,0,"10,10,10,10",10^-01
13.0,3579.120101360374,2529.0082565215166,leo,0,"10,10,10,10",10^-01
14.0,3381.7744495524894,2446.206581220832,leo,0,"10,10,10,10",10^-01
15.0,3137.958313893653,2360.20429853517,leo,0,"10,10,10,10",10^-01
16.0,3089.1457616448097,2457.9673878472,leo,0,"10,10,10,10",10^-01
17.0,3111.552622193885,2434.98201527604,leo,0,"10,10,10,10",10^-01
18.0,3124.084641141069,2430.1435416833733,leo,0,"10,10,10,10",10^-01
19.0,3133.2995404694398,2475.2404387436804,leo,0,"10,10,10,10",10^-01
20.0,3120.953845418633,2468.4937755187825,leo,0,"10,10,10,10",10^-01
21.0,3097.249478173492,2409.5230242954085,leo,0,"10,10,10,10",10^-01
22.0,3129.945122939042,2417.904389299907,leo,0,"10,10,10,10",10^-01
23.0,3070.5540136216273,2494.814881151367,leo,0,"10,10,10,10",10^-01
24.0,3092.2405221535287,2466.803620003844,leo,0,"10,10,10,10",10^-01
25.0,3072.7256719749084,2353.656348218988,leo,0,"10,10,10,10",10^-01
26.0,3144.212656873052,2364.3027860619395,leo,0,"10,10,10,10",10^-01
27.0,3057.2737149216814,2411.225792769029,leo,0,"10,10,10,10",10^-01
28.0,3046.2397128696757,2462.937020500779,leo,0,"10,10,10,10",10^-01
29.0,3089.6797005669923,2465.9985205646326,leo,0,"10,10,10,10",10^-01
30.0,3038.406128140176,2396.0741990870742,leo,0,"10,10,10,10",10^-01
1.0,7604.937035900731,4187.672225628598,leo,0,"10,10,10,10",10^-02
2.0,17387.45857886745,9521.784946815269,leo,0,"10,10,10,10",10^-02
3.0,17195.800423495628,15567.879793184964,leo,0,"10,10,10,10",10^-02
4.0,17132.095824092336,16689.294509599447,leo,0,"10,10,10,10",10^-02
5.0,17068.00227971642,15389.104024473843,leo,0,"10,10,10,10",10^-02
6.0,17057.331642942932,17559.137430249677,leo,0,"10,10,10,10",10^-02
7.0,16927.10938881614,16939.98921903352,leo,0,"10,10,10,10",10^-02
8.0,17042.645610344625,16553.569169966973,leo,0,"10,10,10,10",10^-02
9.0,16971.15200969616,16390.73416070349,leo,0,"10,10,10,10",10^-02
10.0,16966.28229440448,16997.776664463654,leo,0,"10,10,10,10",10^-02
11.0,17153.29091197708,16284.188590089077,leo,0,"10,10,10,10",10^-02
12.0,16927.827426028824,15899.792138200795,leo,0,"10,10,10,10",10^-02
13.0,16933.327462511472,16089.301945251878,leo,0,"10,10,10,10",10^-02
14.0,16897.88384554457,15823.872366821332,leo,0,"10,10,10,10",10^-02
15.0,16941.097219493473,15490.628851884503,leo,0,"10,10,10,10",10^-02
16.0,16898.855847494036,14723.681800028935,leo,0,"10,10,10,10",10^-02
17.0,16807.54390885567,14997.417356240645,leo,0,"10,10,10,10",10^-02
18.0,16776.463911386923,14499.653785262757,leo,0,"10,10,10,10",10^-02
19.0,16642.16547165258,13994.034852200757,leo,0,"10,10,10,10",10^-02
20.0,16368.1572478374,13634.81238339696,leo,0,"10,10,10,10",10^-02
21.0,16387.75061677812,12887.00735570359,leo,0,"10,10,10,10",10^-02
22.0,16283.742974172854,12780.15570432275,leo,0,"10,10,10,10",10^-02
23.0,16261.681021662476,12733.65720493986,leo,0,"10,10,10,10",10^-02
24.0,16378.029998169995,12448.881366935331,leo,0,"10,10,10,10",10^-02
25.0,16079.525595220566,12090.354475647493,leo,0,"10,10,10,10",10^-02
26.0,16028.401290078544,11957.10786192707,leo,0,"10,10,10,10",10^-02
27.0,15925.651091357178,11640.137775121908,leo,0,"10,10,10,10",10^-02
